,$,private,public,rpar,lpar,id,dot,semi,colon,let,float,integer,rcurbr,lcurbr,struct,return,write,read,while,else,then,if,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,inherits,and,div,mult,rsqbr,lsqbr,impl,arrow,func,not,floatlit,intlit,equal,or
START,START → PROG,,,,,,,,,,,,,,START → PROG,,,,,,,,,,,,,,,,,,,,,,,,START → PROG,,START → PROG,,,,,
ADDOP,,,,,,,,,,,,,,,,,,,,,,,ADDOP → minus N,ADDOP → plus N,,,,,,,,,,,,,,,,,,,,,,ADDOP → or N
APARAMS,,,,APARAMS → E &epsilon Z,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,,,,,,,,,,,,,,,,,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,,,,,,,,,,,,,,,,,,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,APARAMS → E EXPR REPTAPARAMS1 Z,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr ARRAYSIZE2,,,,,,,,
ARRAYSIZE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE2 → rsqbr,,,,,,,ARRAYSIZE2 → intlit A rsqbr,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal,
EXPR,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,EXPR → ARITHEXPR EXPR2,,
EXPR2,,,,EXPR2 → &epsilon,,,,EXPR2 → &epsilon,,,,,,,,,,,,,,,,,,EXPR2 → &epsilon,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,EXPR2 → RELOP ARITHEXPR L,,,,,,,,,,,,,,
FACTOR,,,,,FACTOR → lpar ARITHEXPR rpar,FACTOR → id A FACTOR2 REPTVARORFUNCCALL,,,,,,,,,,,,,,,,,FACTOR → SIGN FACTOR R,FACTOR → SIGN FACTOR R,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR Q,FACTOR → floatlit A,FACTOR → intlit A,,
FACTOR2,,,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → lpar APARAMS rpar J,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,,,,,,,,,,,,,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,FACTOR2 → E REPTIDNEST1 C D,,,,,,,,FACTOR2 → E REPTIDNEST1 C D
FPARAMS,,,,FPARAMS → E &epsilon A4,,FPARAMS → E id A colon TYPE E REPTFPARAMS3 A1 A2 REPTFPARAMS4 A4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id A colon TYPE E REPTFPARAMSTAIL4 A1 A2,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,FUNCBODY → lcurbr E REPTFUNCBODY1 A8 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDECL → FUNCHEAD A9 semi,,,,,
FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCDEF → FUNCHEAD FUNCBODY A6,,,,,
FUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCHEAD → func id A lpar FPARAMS rpar arrow RETURNTYPE,,,,,
IDNEST,,,,,,,IDNEST → dot id A G IDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDNEST2,,,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F lpar APARAMS rpar J,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,,,,,,,,,,,,,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,IDNEST2 → F E REPTIDNEST1 C D,,,,,,,,IDNEST2 → F E REPTIDNEST1 C D
IMPLDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IMPLDEF → impl id A lcurbr E REPTIMPLDEF3 B1 rcurbr B2,,,,,,,
INDICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDICE → lsqbr ARITHEXPR rsqbr,,,,,,,,
MEMBERDECL,,,,,,,,,,MEMBERDECL → VARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL → FUNCDECL,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP → and P,MULTOP → div P,MULTOP → mult P,,,,,,,,,,
OPTSTRUCTDECL2,,,,,,,,,,,,,,OPTSTRUCTDECL2 → &epsilon,,,,,,,,,,,,,,,,,,,OPTSTRUCTDECL2 → inherits id A REPTOPTSTRUCTDECL22,,,,,,,,,,,,,
PROG,PROG → E REPTPROG0 B8,,,,,,,,,,,,,,PROG → E REPTPROG0 B8,,,,,,,,,,,,,,,,,,,,,,,,PROG → E REPTPROG0 B8,,PROG → E REPTPROG0 B8,,,,,
RELEXPR,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR L,RELEXPR → ARITHEXPR RELOP ARITHEXPR L,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR L,RELEXPR → ARITHEXPR RELOP ARITHEXPR L,,,,,,,,,,,,,,,,,,RELEXPR → ARITHEXPR RELOP ARITHEXPR L,RELEXPR → ARITHEXPR RELOP ARITHEXPR L,RELEXPR → ARITHEXPR RELOP ARITHEXPR L,,
RELOP,,,,,,,,,,,,,,,,,,,,,,,,,,,RELOP → geq K,RELOP → leq K,RELOP → gt K,RELOP → lt K,RELOP → neq K,RELOP → eq K,,,,,,,,,,,,,,
REPTAPARAMS1,,,,REPTAPARAMS1 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTAPARAMS1 → APARAMSTAIL REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,
REPTFPARAMS3,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMS3 → &epsilon,,,,,,,,,,,,REPTFPARAMS3 → ARRAYSIZE REPTFPARAMS3,,,,,,,,
REPTFPARAMS4,,,,REPTFPARAMS4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMS4 → FPARAMSTAIL REPTFPARAMS4,,,,,,,,,,,,,,,,,,,,
REPTFPARAMSTAIL4,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,REPTFPARAMSTAIL4 → &epsilon,,,,,,,,,,,,REPTFPARAMSTAIL4 → ARRAYSIZE REPTFPARAMSTAIL4,,,,,,,,
REPTFUNCBODY1,,,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → &epsilon,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,REPTFUNCBODY1 → VARDECLORSTAT REPTFUNCBODY1,,,,,,,,,,,,,,,,,,,,,,,,
REPTIDNEST1,,,,REPTIDNEST1 → &epsilon,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,,,,,,,,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon,REPTIDNEST1 → INDICE REPTIDNEST1,,,,,,,REPTIDNEST1 → &epsilon,REPTIDNEST1 → &epsilon
REPTIMPLDEF3,,,,,,,,,,,,,REPTIMPLDEF3 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTIMPLDEF3 → FUNCDEF REPTIMPLDEF3,,,,,
REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → &epsilon,,,,,,,,,,,,REPTOPTSTRUCTDECL22 → comma id A REPTOPTSTRUCTDECL22,,,,,,,,,,,,,,,,,,,,
REPTPROG0,REPTPROG0 → &epsilon,,,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,,,,,,,,,,,,,,,,,,,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,REPTPROG0 → STRUCTORIMPLORFUNC REPTPROG0,,,,,
REPTSTATBLOCK1,,,,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,REPTSTATBLOCK1 → &epsilon,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,REPTSTATBLOCK1 → STATEMENT REPTSTATBLOCK1,,,,,,,,,,,,,,,,,,,,,,,,
REPTSTRUCTDECL4,,REPTSTRUCTDECL4 → VISIBILITY B6 MEMBERDECL B7 REPTSTRUCTDECL4,REPTSTRUCTDECL4 → VISIBILITY B6 MEMBERDECL B7 REPTSTRUCTDECL4,,,,,,,,,,REPTSTRUCTDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARDECL4,,,,,,,,REPTVARDECL4 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REPTVARDECL4 → ARRAYSIZE REPTVARDECL4,,,,,,,,
REPTVARIABLE,,,,REPTVARIABLE → &epsilon,,,REPTVARIABLE → VARIDNEST REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REPTVARORFUNCCALL,,,,REPTVARORFUNCCALL → &epsilon,,,REPTVARORFUNCCALL → IDNEST REPTVARORFUNCCALL,REPTVARORFUNCCALL → &epsilon,,,,,,,,,,,,,,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,REPTVARORFUNCCALL → &epsilon,,,,,,,,,REPTVARORFUNCCALL → &epsilon
RETURNTYPE,,,,,,RETURNTYPE → TYPE,,,,,RETURNTYPE → TYPE,RETURNTYPE → TYPE,,,,,,,,,,,,,RETURNTYPE → void A5,,,,,,,,,,,,,,,,,,,,,
RIGHTRECARITHEXPR,,,,RIGHTRECARITHEXPR → &epsilon,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM M RIGHTRECARITHEXPR,RIGHTRECARITHEXPR → ADDOP TERM M RIGHTRECARITHEXPR,,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,RIGHTRECARITHEXPR → &epsilon,,,,,RIGHTRECARITHEXPR → &epsilon,,,,,,,,,RIGHTRECARITHEXPR → ADDOP TERM M RIGHTRECARITHEXPR
RIGHTRECTERM,,,,RIGHTRECTERM → &epsilon,,,,RIGHTRECTERM → &epsilon,,,,,,,,,,,,,,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,RIGHTRECTERM → &epsilon,,RIGHTRECTERM → MULTOP FACTOR O RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR O RIGHTRECTERM,RIGHTRECTERM → MULTOP FACTOR O RIGHTRECTERM,RIGHTRECTERM → &epsilon,,,,,,,,,RIGHTRECTERM → &epsilon
SIGN,,,,,,,,,,,,,,,,,,,,,,,SIGN → minus S,SIGN → plus S,,,,,,,,,,,,,,,,,,,,,,
STATBLOCK,,,,,,STATBLOCK → E STATEMENT X,,STATBLOCK → E &epsilon X,,,,,,STATBLOCK → E lcurbr REPTSTATBLOCK1 rcurbr X,,STATBLOCK → E STATEMENT X,STATBLOCK → E STATEMENT X,STATBLOCK → E STATEMENT X,STATBLOCK → E STATEMENT X,STATBLOCK → E &epsilon X,,STATBLOCK → E STATEMENT X,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENT,,,,,,STATEMENT → id A STATEMENTIDNEST semi,,,,,,,,,,STATEMENT → return lpar EXPR V rpar semi,STATEMENT → write lpar EXPR Y rpar semi,STATEMENT → read lpar VARIABLE U rpar semi,STATEMENT → while lpar RELEXPR rpar STATBLOCK W semi,,,STATEMENT → if lpar RELEXPR rpar then STATBLOCK else STATBLOCK T semi ,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST,,,,,STATEMENTIDNEST → F lpar APARAMS rpar J STATEMENTIDNEST2,,STATEMENTIDNEST → F dot id A G STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST → F E INDICE REPTIDNEST1 C D STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST → ASSIGNOP EXPR H,
STATEMENTIDNEST2,,,,,,,STATEMENTIDNEST2 → dot id A G STATEMENTIDNEST,STATEMENTIDNEST2 → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATEMENTIDNEST3,,,,,,,STATEMENTIDNEST3 → dot id A G STATEMENTIDNEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATEMENTIDNEST3 → ASSIGNOP EXPR H,
STRUCTDECL,,,,,,,,,,,,,,,STRUCTDECL → struct id A E OPTSTRUCTDECL2 B4 lcurbr E REPTSTRUCTDECL4 B5 rcurbr semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STRUCTORIMPLORFUNC,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC → STRUCTDECL,,,,,,,,,,,,,,,,,,,,,,,,STRUCTORIMPLORFUNC → IMPLDEF,,STRUCTORIMPLORFUNC → FUNCDEF,,,,,
TERM,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,,,,,,,,,,,,,,,,,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,TERM → FACTOR RIGHTRECTERM,,
TYPE,,,,,,TYPE → id A A3,,,,,TYPE → float A A3,TYPE → integer A A3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECL,,,,,,,,,,VARDECL → let id A colon TYPE E REPTVARDECL4 A1 A7 semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDECLORSTAT,,,,,,VARDECLORSTAT → STATEMENT,,,,VARDECLORSTAT → VARDECL,,,,,,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,VARDECLORSTAT → STATEMENT,,,VARDECLORSTAT → STATEMENT,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE,,,,,,VARIABLE → id A VARIABLE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLE2,,,,VARIABLE2 → E REPTIDNEST1 C D REPTVARIABLE,VARIABLE2 → lpar APARAMS J rpar VARIDNEST,,VARIABLE2 → E REPTIDNEST1 C D REPTVARIABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIABLE2 → E REPTIDNEST1 C D REPTVARIABLE,,,,,,,,
VARIDNEST,,,,,,,VARIDNEST → dot id A G VARIDNEST2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIDNEST2,,,,VARIDNEST2 → F E REPTIDNEST1 C D,VARIDNEST2 → F lpar APARAMS J rpar VARIDNEST,,VARIDNEST2 → F E REPTIDNEST1 C D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARIDNEST2 → F E REPTIDNEST1 C D,,,,,,,,
VISIBILITY,,VISIBILITY → private,VISIBILITY → public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
